,count,mean,std,min,25%,50%,75%,max
forward_sixteen_month_return_median,47539.0,-2.3820899468733328,1.2443510537551676e-12,-2.382089946874577,-2.382089946874577,-2.382089946874577,-2.382089946874577,-2.382089946874577
forward_seventeen_month_return_median,47539.0,1.4405904344659552,4.3898680108386267e-13,1.4405904344655163,1.4405904344655163,1.4405904344655163,1.4405904344655163,1.4405904344655163
forward_eighteen_month_return_median,47539.0,-2.2964786001693547,1.4601806797812244e-12,-2.296478600170815,-2.296478600170815,-2.296478600170815,-2.296478600170815,-2.296478600170815
forward_nineteen_month_return_median,47539.0,3.498732321595304,1.5148042271088069e-12,3.4987323215937893,3.4987323215937893,3.4987323215937893,3.4987323215937893,3.4987323215937893
forward_twenty_month_return_median,47539.0,0.02871088142408665,2.1122215201366936e-14,0.028710881424065526,0.028710881424065526,0.028710881424065526,0.028710881424065526,0.028710881424065526
forward_twentyone_month_return_median,47539.0,3.0303030303038603,8.32676026335096e-13,3.0303030303030276,3.0303030303030276,3.0303030303030276,3.0303030303030276,3.0303030303030276
forward_twentytwo_month_return_median,47539.0,2.106390574796775,2.060595606503918e-12,2.1063905747947143,2.1063905747947143,2.1063905747947143,2.1063905747947143,2.1063905747947143
forward_twentythree_month_return_median,47539.0,8.436724565752215,4.6008126041768505e-12,8.436724565756816,8.436724565756816,8.436724565756816,8.436724565756816,8.436724565756816
forward_twentyfour_month_return_median,47539.0,-4.875719332107117,3.0287202664561894e-13,-4.87571933210742,-4.87571933210742,-4.87571933210742,-4.87571933210742,-4.87571933210742
forward_twentyfive_month_return_median,47539.0,2.3558531229468103,1.0933591343130702e-12,2.355853122945717,2.355853122945717,2.355853122945717,2.355853122945717,2.355853122945717
forward_twentysix_month_return_median,47539.0,10.291456854844961,5.583148268311908e-12,10.291456854850544,10.291456854850544,10.291456854850544,10.291456854850544,10.291456854850544
forward_twentyseven_month_return_median,47539.0,-0.5959727412155684,1.9828791773793088e-13,-0.5959727412157667,-0.5959727412157667,-0.5959727412157667,-0.5959727412157667,-0.5959727412157667
forward_twentyeight_month_return_median,47539.0,1.6928005384061344,1.9051627482547e-13,1.692800538406325,1.692800538406325,1.692800538406325,1.692800538406325,1.692800538406325
forward_twentynine_month_return_median,47539.0,8.007537098248397,4.4196223008463344e-12,8.007537098243978,8.007537098243978,8.007537098243978,8.007537098243978,8.007537098243978
forward_thirty_month_return_median,47539.0,-0.8410151914060665,7.688375309827387e-13,-0.8410151914052977,-0.8410151914052977,-0.8410151914052977,-0.8410151914052977,-0.8410151914052977
forward_thirtyone_month_return_median,47539.0,8.477945753202151,4.5208757056486815e-12,8.477945753206672,8.477945753206672,8.477945753206672,8.477945753206672,8.477945753206672
forward_thirtytwo_month_return_median,47539.0,125.55666388453582,8.54081351385417e-12,125.55666388454436,125.55666388454436,125.55666388454436,125.55666388454436,125.55666388454436
forward_thirtythree_month_return_median,47539.0,8.90758103267816,5.4499201040982925e-12,8.90758103268361,8.90758103268361,8.90758103268361,8.90758103268361,8.90758103268361
forward_thirtyfour_month_return_median,47539.0,3.5783068955911723,2.549098875287174e-12,3.5783068955886232,3.5783068955886232,3.5783068955886232,3.5783068955886232,3.5783068955886232
forward_thirtyfive_month_return_median,47539.0,136.52791951345904,9.504319597447036e-11,136.52791951355408,136.52791951355408,136.52791951355408,136.52791951355408,136.52791951355408
forward_thirtysix_month_return_median,0.0,,,,,,,
past_one_month_return_median,47539.0,-0.3979655316118331,3.0677966094661175,-4.7822682647714165,-4.067796610169494,-0.4527682318650528,1.7766426774099453,5.125081221572447
past_two_month_return_median,47539.0,-0.925630852232315,4.013195255350761,-9.027777777777779,-2.4939540507859737,-0.8205940858767025,0.2813987785927008,6.142820980870312
past_three_month_return_median,47539.0,-1.636307626327968,3.7547407428034623,-10.63701923076924,-3.996064912859171,-1.365576102418209,-0.09917355371901193,3.969754253308122
past_four_month_return_median,47539.0,-3.0202467463240765,3.3519305374037813,-10.599999999999998,-5.193465176268286,-2.8135431568907965,-2.495974235104681,4.563918757467134
past_five_month_return_median,47539.0,-4.3803067302182725,3.0784304538404945,-9.180327868852455,-6.6865417376490655,-4.318669527897001,-4.318669527897001,4.175705540364493
past_six_month_return_median,47539.0,-5.468117934934401,2.609863284957094,-10.494476591267766,-6.149894227863417,-5.318727786305138,-5.318727786305138,1.4577259475218485
past_seven_month_return_median,47539.0,-6.005157464430395,1.5637495334449458,-9.836065573770492,-5.87347503458685,-5.87347503458685,-5.87347503458685,-3.0620095399292224
past_eight_month_return_median,47539.0,-5.705980112428343,3.919572591164565e-12,-5.705980112432263,-5.705980112432263,-5.705980112432263,-5.705980112432263,-5.705980112432263
past_nine_month_return_median,47539.0,-5.075600448054985,0.7894798621082294,-7.33756917401106,-5.002552322613585,-5.002552322613585,-5.002552322613585,-3.5526993124563253
past_ten_month_return_median,47539.0,-4.244356475553448,0.996302484522783,-6.725860155382913,-4.237075816939356,-4.237075816939356,-4.237075816939356,-1.842559993782028
past_eleven_month_return_median,47539.0,-3.9551140544548335,3.042043082877551e-12,-3.9551140544517915,-3.9551140544517915,-3.9551140544517915,-3.9551140544517915,-3.9551140544517915
past_twelve_month_return_median,47539.0,-3.220890766778696,1.108902420137992e-12,-3.220890766779805,-3.220890766779805,-3.220890766779805,-3.220890766779805,-3.220890766779805
past_thirteen_month_return_median,47539.0,-3.441542592141253,6.634762577838046e-13,-3.4415425921405896,-3.4415425921405896,-3.4415425921405896,-3.4415425921405896,-3.4415425921405896
past_fourteen_month_return_median,47539.0,-4.217274253159803,4.624793673735301e-12,-4.217274253155178,-4.217274253155178,-4.217274253155178,-4.217274253155178,-4.217274253155178
past_fifteen_month_return_median,47539.0,-4.387905604722499,2.7329537419019633e-12,-4.387905604719766,-4.387905604719766,-4.387905604719766,-4.387905604719766,-4.387905604719766
past_sixteen_month_return_median,47539.0,-4.504782132743988,4.445379745927633e-12,-4.5047821327395425,-4.5047821327395425,-4.5047821327395425,-4.5047821327395425,-4.5047821327395425
past_seventeen_month_return_median,47539.0,-2.925448254169227,1.2541211191308328e-12,-2.9254482541679727,-2.9254482541679727,-2.9254482541679727,-2.9254482541679727,-2.9254482541679727
past_eighteen_month_return_median,47539.0,-4.079460801702255,4.947205831132251e-13,-4.07946080170275,-4.07946080170275,-4.07946080170275,-4.07946080170275,-4.07946080170275
past_nineteen_month_return_median,47539.0,-3.198308060277792,5.120402444609951e-13,-3.198308060278304,-3.198308060278304,-3.198308060278304,-3.198308060278304,-3.198308060278304
past_twenty_month_return_median,47539.0,-2.439750179025995,1.8492069192849815e-12,-2.439750179027844,-2.439750179027844,-2.439750179027844,-2.439750179027844,-2.439750179027844
past_twentyone_month_return_median,47539.0,-0.7346491228064599,5.474567314477812e-13,-0.7346491228070073,-0.7346491228070073,-0.7346491228070073,-0.7346491228070073,-0.7346491228070073
past_twentytwo_month_return_median,47539.0,-0.7816571130794665,2.702311264132832e-13,-0.7816571130797367,-0.7816571130797367,-0.7816571130797367,-0.7816571130797367,-0.7816571130797367
past_twentythree_month_return_median,47539.0,-0.17818112559392596,1.4111083059625427e-13,-0.17818112559378485,-0.17818112559378485,-0.17818112559378485,-0.17818112559378485,-0.17818112559378485
past_twentyfour_month_return_median,47539.0,-0.5938310003831359,2.918807030979957e-13,-0.593831000382844,-0.593831000382844,-0.593831000382844,-0.593831000382844,-0.593831000382844
past_twentyfive_month_return_median,47539.0,-0.7300349545013464,5.883133684732899e-13,-0.7300349545019347,-0.7300349545019347,-0.7300349545019347,-0.7300349545019347,-0.7300349545019347
past_twentysix_month_return_median,47539.0,-0.5613819170578663,5.958629644453947e-13,-0.5613819170584622,-0.5613819170584622,-0.5613819170584622,-0.5613819170584622,-0.5613819170584622
past_twentyseven_month_return_median,47539.0,-0.8543494407304687,2.929909377997758e-13,-0.8543494407307617,-0.8543494407307617,-0.8543494407307617,-0.8543494407307617,-0.8543494407307617
past_twentyeight_month_return_median,47539.0,1.183938227521644,1.0744851443828081e-12,1.1839382275227184,1.1839382275227184,1.1839382275227184,1.1839382275227184,1.1839382275227184
past_twentynine_month_return_median,47539.0,2.058841339458012,6.128495553826307e-14,2.058841339457951,2.058841339457951,2.058841339457951,2.058841339457951,2.058841339457951
past_thirty_month_return_median,47539.0,3.5590511524033515,3.301393909213389e-12,3.55905115240005,3.55905115240005,3.55905115240005,3.55905115240005,3.55905115240005
past_thirtyone_month_return_median,47539.0,4.310376378998079,2.3172818695554833e-12,4.310376378995762,4.310376378995762,4.310376378995762,4.310376378995762,4.310376378995762
past_thirtytwo_month_return_median,47539.0,3.1496612196086593,7.527391278069268e-13,3.149661219609412,3.149661219609412,3.149661219609412,3.149661219609412,3.149661219609412
past_thirtythree_month_return_median,47539.0,0.9524526227007675,6.50153441362443e-13,0.9524526227001173,0.9524526227001173,0.9524526227001173,0.9524526227001173,0.9524526227001173
past_thirtyfour_month_return_median,47539.0,2.0451770451764504,5.986385511998451e-13,2.045177045177049,2.045177045177049,2.045177045177049,2.045177045177049,2.045177045177049
past_thirtyfive_month_return_median,47539.0,5.024707501259517,1.3322816421361537e-12,5.024707501260849,5.024707501260849,5.024707501260849,5.024707501260849,5.024707501260849
past_thirtysix_month_return_median,0.0,,,,,,,
accrual_median,47539.0,0.041333431498331456,0.0013123088167631004,0.039,0.040999999999999995,0.040999999999999995,0.042,0.044000000000000004
adv_sale_median,47539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aftret_eq_median,47539.0,0.0745015040282693,0.002532869627734259,0.069,0.075,0.075,0.0755,0.079
aftret_equity_median,47539.0,0.0715846357727175,0.0023961901002810273,0.067,0.071,0.07200000000000001,0.073,0.076
aftret_invcapx_median,47539.0,0.039001367298410146,0.0036039024545337795,0.032,0.039,0.039,0.04,0.044000000000000004
at_turn_median,47539.0,0.6440000000001871,1.870745472499516e-13,0.644,0.644,0.644,0.644,0.644
bm_median,47539.0,0.4959519131662115,0.01108193297070236,0.491,0.491,0.491,0.491,0.521
CAPEI_median,47539.0,16.807306990055725,0.25014145832933365,16.165,16.625,16.932000000000002,16.932000000000002,17.004
capital_ratio_median,47539.0,0.25608214308251154,0.0062227473591392485,0.247,0.25,0.256,0.259,0.267
cash_conversion_median,47539.0,70.36799999992816,7.183662614398141e-11,70.368,70.368,70.368,70.368,70.368
cash_debt_median,47539.0,0.09258442541917153,0.00193636353393338,0.092,0.092,0.092,0.092,0.099
cash_lt_median,47539.0,0.18025141462791067,0.0027416148418206387,0.174,0.18100000000000002,0.18100000000000002,0.18100000000000002,0.184
cash_ratio_median,47539.0,0.6300000000002685,2.68454750890435e-13,0.63,0.63,0.63,0.63,0.63
cfm_median,47539.0,0.09299999999993154,6.84737252322894e-14,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001,0.09300000000000001
curr_debt_median,47539.0,0.4530000000002147,2.1471939132427677e-13,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996
curr_ratio_median,47539.0,2.1059999999997814,2.184941893103292e-13,2.106,2.106,2.106,2.106,2.106
de_ratio_median,47539.0,1.191035150087887,0.00868547382689172,1.1640000000000001,1.192,1.192,1.1935,1.203
debt_assets_median,47539.0,0.5645406087631136,0.0026100977017480464,0.5579999999999999,0.563,0.565,0.565,0.569
debt_at_median,47539.0,0.16908113338521216,0.003476261941085973,0.16,0.168,0.16899999999999998,0.16899999999999998,0.175
debt_capital_median,47539.0,0.4261236774017491,0.0031230365154433447,0.42,0.4245,0.4255,0.42700000000000005,0.43200000000000005
debt_ebitda_median,47539.0,1.5017437051677134,0.011093482980108434,1.465,1.505,1.505,1.505,1.506
debt_invcap_median,47539.0,0.2536638549403493,0.0046234234576228925,0.248,0.249,0.254,0.254,0.263
DIVYIELD_median,47539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
