X_time_index,y_time_index,year-month
1311,1312,2009-04
1312,1313,2009-05
1313,1314,2009-06
1314,1315,2009-07
1315,1316,2009-08
1316,1317,2009-09
1317,1318,2009-10
1318,1319,2009-11
1319,1320,2009-12
1320,1321,2010-01
1321,1322,2010-02
1322,1323,2010-03
1323,1324,2010-04
1324,1325,2010-05
1325,1326,2010-06
1326,1327,2010-07
1327,1328,2010-08
1328,1329,2010-09
1329,1330,2010-10
1330,1331,2010-11
1331,1332,2010-12
1332,1333,2011-01
1333,1334,2011-02
1334,1335,2011-03
1335,1336,2011-04
1336,1337,2011-05
1337,1338,2011-06
1338,1339,2011-07
1339,1340,2011-08
1340,1341,2011-09
1341,1342,2011-10
1342,1343,2011-11
1343,1344,2011-12
1344,1345,2012-01
1345,1346,2012-02
1346,1347,2012-03
1347,1348,2012-04
1348,1349,2012-05
1349,1350,2012-06
1350,1351,2012-07
1351,1352,2012-08
1352,1353,2012-09
1353,1354,2012-10
1354,1355,2012-11
1355,1356,2012-12
1356,1357,2013-01
1357,1358,2013-02
1358,1359,2013-03
1359,1360,2013-04
1360,1361,2013-05
1361,1362,2013-06
1362,1363,2013-07
1363,1364,2013-08
1364,1365,2013-09
1365,1366,2013-10
1366,1367,2013-11
1367,1368,2013-12
1368,1369,2014-01
1369,1370,2014-02
1370,1371,2014-03
1371,1372,2014-04
1372,1373,2014-05
1373,1374,2014-06
1374,1375,2014-07
1375,1376,2014-08
1376,1377,2014-09
1377,1378,2014-10
1378,1379,2014-11
1379,1380,2014-12
1380,1381,2015-01
1381,1382,2015-02
1382,1383,2015-03
1383,1384,2015-04
1384,1385,2015-05
1385,1386,2015-06
1386,1387,2015-07
1387,1388,2015-08
1388,1389,2015-09
1389,1390,2015-10
1390,1391,2015-11
1391,1392,2015-12
1392,1393,2016-01
1393,1394,2016-02
1394,1395,2016-03
1395,1396,2016-04
1396,1397,2016-05
1397,1398,2016-06
1398,1399,2016-07
1399,1400,2016-08
1400,1401,2016-09
1401,1402,2016-10
1402,1403,2016-11
1403,1404,2016-12
1404,1405,2017-01
1405,1406,2017-02
1406,1407,2017-03
1407,1408,2017-04
1408,1409,2017-05
1409,1410,2017-06
1410,1411,2017-07
1411,1412,2017-08
1412,1413,2017-09
1413,1414,2017-10
1414,1415,2017-11
1415,1416,2017-12
