Index,Year-Month,Month,Year
801,1966-9,9,1966
802,1966-10,10,1966
803,1966-11,11,1966
804,1966-12,12,1966
805,1967-1,1,1967
806,1967-2,2,1967
807,1967-3,3,1967
808,1967-4,4,1967
809,1967-5,5,1967
810,1967-6,6,1967
811,1967-7,7,1967
812,1967-8,8,1967
813,1967-9,9,1967
814,1967-10,10,1967
815,1967-11,11,1967
816,1967-12,12,1967
817,1968-1,1,1968
818,1968-2,2,1968
819,1968-3,3,1968
820,1968-4,4,1968
821,1968-5,5,1968
822,1968-6,6,1968
823,1968-7,7,1968
824,1968-8,8,1968
825,1968-9,9,1968
826,1968-10,10,1968
827,1968-11,11,1968
828,1968-12,12,1968
829,1969-1,1,1969
830,1969-2,2,1969
831,1969-3,3,1969
832,1969-4,4,1969
833,1969-5,5,1969
834,1969-6,6,1969
835,1969-7,7,1969
836,1969-8,8,1969
837,1969-9,9,1969
838,1969-10,10,1969
839,1969-11,11,1969
840,1969-12,12,1969
841,1970-1,1,1970
842,1970-2,2,1970
843,1970-3,3,1970
844,1970-4,4,1970
845,1970-5,5,1970
846,1970-6,6,1970
847,1970-7,7,1970
848,1970-8,8,1970
849,1970-9,9,1970
850,1970-10,10,1970
851,1970-11,11,1970
852,1970-12,12,1970
853,1971-1,1,1971
854,1971-2,2,1971
855,1971-3,3,1971
856,1971-4,4,1971
857,1971-5,5,1971
858,1971-6,6,1971
859,1971-7,7,1971
860,1971-8,8,1971
861,1971-9,9,1971
862,1971-10,10,1971
863,1971-11,11,1971
864,1971-12,12,1971
865,1972-1,1,1972
866,1972-2,2,1972
867,1972-3,3,1972
868,1972-4,4,1972
869,1972-5,5,1972
870,1972-6,6,1972
871,1972-7,7,1972
872,1972-8,8,1972
873,1972-9,9,1972
874,1972-10,10,1972
875,1972-11,11,1972
876,1972-12,12,1972
877,1973-1,1,1973
878,1973-2,2,1973
879,1973-3,3,1973
880,1973-4,4,1973
881,1973-5,5,1973
882,1973-6,6,1973
883,1973-7,7,1973
884,1973-8,8,1973
885,1973-9,9,1973
886,1973-10,10,1973
887,1973-11,11,1973
888,1973-12,12,1973
889,1974-1,1,1974
890,1974-2,2,1974
891,1974-3,3,1974
892,1974-4,4,1974
893,1974-5,5,1974
894,1974-6,6,1974
895,1974-7,7,1974
896,1974-8,8,1974
897,1974-9,9,1974
898,1974-10,10,1974
899,1974-11,11,1974
900,1974-12,12,1974
901,1975-1,1,1975
902,1975-2,2,1975
903,1975-3,3,1975
904,1975-4,4,1975
905,1975-5,5,1975
906,1975-6,6,1975
907,1975-7,7,1975
908,1975-8,8,1975
909,1975-9,9,1975
910,1975-10,10,1975
911,1975-11,11,1975
912,1975-12,12,1975
913,1976-1,1,1976
914,1976-2,2,1976
915,1976-3,3,1976
916,1976-4,4,1976
917,1976-5,5,1976
918,1976-6,6,1976
919,1976-7,7,1976
920,1976-8,8,1976
921,1976-9,9,1976
922,1976-10,10,1976
923,1976-11,11,1976
924,1976-12,12,1976
925,1977-1,1,1977
926,1977-2,2,1977
927,1977-3,3,1977
928,1977-4,4,1977
929,1977-5,5,1977
930,1977-6,6,1977
931,1977-7,7,1977
932,1977-8,8,1977
933,1977-9,9,1977
934,1977-10,10,1977
935,1977-11,11,1977
936,1977-12,12,1977
937,1978-1,1,1978
938,1978-2,2,1978
939,1978-3,3,1978
940,1978-4,4,1978
941,1978-5,5,1978
942,1978-6,6,1978
943,1978-7,7,1978
944,1978-8,8,1978
945,1978-9,9,1978
946,1978-10,10,1978
947,1978-11,11,1978
948,1978-12,12,1978
949,1979-1,1,1979
950,1979-2,2,1979
951,1979-3,3,1979
952,1979-4,4,1979
953,1979-5,5,1979
954,1979-6,6,1979
955,1979-7,7,1979
956,1979-8,8,1979
957,1979-9,9,1979
958,1979-10,10,1979
959,1979-11,11,1979
960,1979-12,12,1979
961,1980-1,1,1980
962,1980-2,2,1980
963,1980-3,3,1980
964,1980-4,4,1980
965,1980-5,5,1980
966,1980-6,6,1980
967,1980-7,7,1980
968,1980-8,8,1980
969,1980-9,9,1980
970,1980-10,10,1980
971,1980-11,11,1980
972,1980-12,12,1980
973,1981-1,1,1981
974,1981-2,2,1981
975,1981-3,3,1981
976,1981-4,4,1981
977,1981-5,5,1981
978,1981-6,6,1981
979,1981-7,7,1981
980,1981-8,8,1981
981,1981-9,9,1981
982,1981-10,10,1981
983,1981-11,11,1981
984,1981-12,12,1981
985,1982-1,1,1982
986,1982-2,2,1982
987,1982-3,3,1982
988,1982-4,4,1982
989,1982-5,5,1982
990,1982-6,6,1982
991,1982-7,7,1982
992,1982-8,8,1982
993,1982-9,9,1982
994,1982-10,10,1982
995,1982-11,11,1982
996,1982-12,12,1982
997,1983-1,1,1983
998,1983-2,2,1983
999,1983-3,3,1983
1000,1983-4,4,1983
1001,1983-5,5,1983
1002,1983-6,6,1983
1003,1983-7,7,1983
1004,1983-8,8,1983
1005,1983-9,9,1983
1006,1983-10,10,1983
1007,1983-11,11,1983
1008,1983-12,12,1983
1009,1984-1,1,1984
1010,1984-2,2,1984
1011,1984-3,3,1984
1012,1984-4,4,1984
1013,1984-5,5,1984
1014,1984-6,6,1984
1015,1984-7,7,1984
1016,1984-8,8,1984
1017,1984-9,9,1984
1018,1984-10,10,1984
1019,1984-11,11,1984
1020,1984-12,12,1984
1021,1985-1,1,1985
1022,1985-2,2,1985
1023,1985-3,3,1985
1024,1985-4,4,1985
1025,1985-5,5,1985
1026,1985-6,6,1985
1027,1985-7,7,1985
1028,1985-8,8,1985
1029,1985-9,9,1985
1030,1985-10,10,1985
1031,1985-11,11,1985
1032,1985-12,12,1985
1033,1986-1,1,1986
1034,1986-2,2,1986
1035,1986-3,3,1986
1036,1986-4,4,1986
1037,1986-5,5,1986
1038,1986-6,6,1986
1039,1986-7,7,1986
1040,1986-8,8,1986
1041,1986-9,9,1986
1042,1986-10,10,1986
1043,1986-11,11,1986
1044,1986-12,12,1986
1045,1987-1,1,1987
1046,1987-2,2,1987
1047,1987-3,3,1987
1048,1987-4,4,1987
1049,1987-5,5,1987
1050,1987-6,6,1987
1051,1987-7,7,1987
1052,1987-8,8,1987
1053,1987-9,9,1987
1054,1987-10,10,1987
1055,1987-11,11,1987
1056,1987-12,12,1987
1057,1988-1,1,1988
1058,1988-2,2,1988
1059,1988-3,3,1988
1060,1988-4,4,1988
1061,1988-5,5,1988
1062,1988-6,6,1988
1063,1988-7,7,1988
1064,1988-8,8,1988
1065,1988-9,9,1988
1066,1988-10,10,1988
1067,1988-11,11,1988
1068,1988-12,12,1988
1069,1989-1,1,1989
1070,1989-2,2,1989
1071,1989-3,3,1989
1072,1989-4,4,1989
1073,1989-5,5,1989
1074,1989-6,6,1989
1075,1989-7,7,1989
1076,1989-8,8,1989
1077,1989-9,9,1989
1078,1989-10,10,1989
1079,1989-11,11,1989
1080,1989-12,12,1989
1081,1990-1,1,1990
1082,1990-2,2,1990
1083,1990-3,3,1990
1084,1990-4,4,1990
1085,1990-5,5,1990
1086,1990-6,6,1990
1087,1990-7,7,1990
1088,1990-8,8,1990
1089,1990-9,9,1990
1090,1990-10,10,1990
1091,1990-11,11,1990
1092,1990-12,12,1990
1093,1991-1,1,1991
1094,1991-2,2,1991
1095,1991-3,3,1991
1096,1991-4,4,1991
1097,1991-5,5,1991
1098,1991-6,6,1991
1099,1991-7,7,1991
1100,1991-8,8,1991
1101,1991-9,9,1991
1102,1991-10,10,1991
1103,1991-11,11,1991
1104,1991-12,12,1991
1105,1992-1,1,1992
1106,1992-2,2,1992
1107,1992-3,3,1992
1108,1992-4,4,1992
1109,1992-5,5,1992
1110,1992-6,6,1992
1111,1992-7,7,1992
1112,1992-8,8,1992
1113,1992-9,9,1992
1114,1992-10,10,1992
1115,1992-11,11,1992
1116,1992-12,12,1992
1117,1993-1,1,1993
1118,1993-2,2,1993
1119,1993-3,3,1993
1120,1993-4,4,1993
1121,1993-5,5,1993
1122,1993-6,6,1993
1123,1993-7,7,1993
1124,1993-8,8,1993
1125,1993-9,9,1993
1126,1993-10,10,1993
1127,1993-11,11,1993
1128,1993-12,12,1993
1129,1994-1,1,1994
1130,1994-2,2,1994
1131,1994-3,3,1994
1132,1994-4,4,1994
1133,1994-5,5,1994
1134,1994-6,6,1994
1135,1994-7,7,1994
1136,1994-8,8,1994
1137,1994-9,9,1994
1138,1994-10,10,1994
1139,1994-11,11,1994
1140,1994-12,12,1994
1141,1995-1,1,1995
1142,1995-2,2,1995
1143,1995-3,3,1995
1144,1995-4,4,1995
1145,1995-5,5,1995
1146,1995-6,6,1995
1147,1995-7,7,1995
1148,1995-8,8,1995
1149,1995-9,9,1995
