,count,mean,std,min,25%,50%,75%,max
forward_ten_month_return_sector_median,28677,-2.873637099,14.61049415,-77.82336566,-7.416879795,-3.336693795,3.387144377,41.25805496
forward_ten_month_return_sector_mad,28677,24.34250355,22.60423455,0,10.32134714,18.36555761,30.49956491,120.8326386
exret,28682,0.002607623,0.117359918,-0.880978,-0.04708975,0.002778,0.05055825,4.18993
exret_zscore,28682,-0.002369213,1.68411136,-13.18875124,-0.691669062,0,0.650498647,65.63377109
exret_sector_zscore,28682,0.018309397,1.580238571,-14.86791356,-0.678091748,0,0.668211007,46.33598813
alpha,28801,0.005488473,0.007913824,-0.0382,0.0012,0.0047,0.0092,0.0628
b_hml,28801,0.272208093,0.757532528,-5.8211,-0.0668,0.39,0.7268,4.1499
b_mkt,28801,0.949382053,0.465067778,-0.3952,0.6173,0.9058,1.2236,2.8504
b_smb,28801,0.654773188,0.6849586,-2.7352,0.2316,0.5606,0.9691,9.7352
b_umd,28801,-0.159049533,0.340061076,-2.8982,-0.3121,-0.0996,0.0582,0.9468
ivol,28801,0.123265063,0.063627605,0.04003,0.077132,0.108084,0.153225,0.661516
n,28801,225.0198604,38.38856376,126,202,252,252,252
R2,28801,0.222478239,0.119106563,0.000931,0.129753,0.209291,0.299691,0.654462
tvol,28801,0.139363815,0.067834277,0.040667,0.089478,0.123671,0.17366,0.77382
alpha_zscore,28801,0.127990591,1.357634709,-7.437380923,-0.603927253,0,0.759222832,10.28901325
b_hml_zscore,28801,-0.210857214,1.359083681,-11.17757974,-0.819979578,0,0.604772799,6.745516973
b_mkt_zscore,28801,0.097285519,1.036406193,-2.889989184,-0.642616206,0,0.705743981,4.408365944
b_smb_zscore,28801,0.173356096,1.25684947,-6.101242634,-0.60221647,0,0.750032407,16.86581062
b_umd_zscore,28801,-0.22745727,1.299369518,-10.75025965,-0.816519882,0,0.602990506,3.908918066
ivol_zscore,28801,0.28894051,1.208001877,-1.295364247,-0.58700328,0,0.857206154,10.62725092
n_zscore,28801,-0.797884648,1.135317107,-3.757443741,-1.484938545,0,0,0
R2_zscore,28801,0.104488675,0.946407828,-1.659286085,-0.634036792,0,0.719370713,3.54079432
tvol_zscore,28801,0.264636799,1.142278832,-1.398117763,-0.574870241,0,0.839159166,11.02074011
alpha_sector_zscore,28801,0.044198305,1.308247209,-10.37460745,-0.647064914,0,0.705774218,10.65948856
b_hml_sector_zscore,28801,-0.073178334,1.256075769,-10.32500998,-0.67294751,0,0.67294751,7.367597628
b_mkt_sector_zscore,28801,0.128800604,1.138709356,-3.793872149,-0.627233387,0,0.733444812,8.220750764
b_smb_sector_zscore,28801,0.092121552,1.155008575,-5.702468099,-0.64736932,0,0.701222616,14.22438118
b_umd_sector_zscore,28801,-0.16759595,1.355632964,-18.87575794,-0.722394523,0,0.632447398,4.816972499
ivol_sector_zscore,28801,0.339018033,1.418595661,-2.14838537,-0.586804839,0,0.845194434,13.15271379
R2_sector_zscore,28801,0.079395505,0.952665325,-3.12409925,-0.637881072,0,0.71804476,4.073843505
tvol_sector_zscore,28801,0.303740261,1.34977309,-2.259181798,-0.58950314,0,0.839954731,12.13558256
forward_four_month_return_sector_zscore,31473,2.178398437,189.7434373,-13.05995413,-0.696938667,0,0.647615757,18738.61125
forward_four_month_return,31535,16.21774969,1654.273516,-99.93621837,-16.20009696,-2.309859155,8.547324743,148699.5004
forward_four_month_return_zscore,31535,1.056548721,92.77275503,-8.878925097,-0.753399944,0,0.612551831,8485.816968
past_four_month_return_sector_zscore,31647,2.168067846,192.8050549,-12.30139249,-0.696175968,0,0.652901785,18231.26232
forward_twelve_month_return_median,31681,-1.825610154,3.485744664,-5.716090006,-4.384898741,-3.571706648,-0.070618535,5.582035446
forward_thirteen_month_return_median,31681,3.857132456,10.0035474,-5.06755187,-4.759618596,-2.60847674,7.220114537,20.59156403
forward_fourteen_month_return_median,31681,16.31439097,58.70210937,-19.23420677,-4.517726068,-3.314791079,1.596854387,170.8009281
forward_twelve_month_return_mad,31681,15.26837903,5.914940497,3.597236625,15.84624832,18.24874932,19.91249305,20.9968327
forward_thirteen_month_return_mad,31681,48.76149693,35.5362745,21.29007433,31.28906594,36.29555486,38.48483291,140.7546488
forward_fourteen_month_return_mad,31681,63.84976675,73.67204054,14.60963112,21.05664512,22.53534704,88.18424335,245.8316557
past_twelve_month_return_median,31687,-2.199889665,6.160136323,-8.923512748,-7.137458197,-3.675377098,-2.832543444,12.78629541
past_thirteen_month_return_median,31687,-0.811256448,6.596066929,-9.808811305,-4.652173913,-2.636430678,-0.274072401,14.17472271
past_fourteen_month_return_median,31687,-0.543615433,7.495674686,-6.930693069,-4.900260191,-4.224376731,-2.941368461,16.5818938
past_twelve_month_return_mad,31687,12.30930571,5.307319747,1.106228578,13.00479819,14.83928027,16.06821947,17.00637787
past_thirteen_month_return_mad,31687,15.92994754,5.084878843,4.365298402,15.31379138,17.58586843,20.15427852,21.26097206
past_fourteen_month_return_mad,31687,12.28320737,6.682660982,1.183949065,6.370559371,17.7141662,18.56935671,18.72299257
past_four_month_return,31721,14.61789732,1649.198161,-99.93621837,-16.52661064,-2.813543157,7.82414307,148699.5004
past_four_month_return_zscore,31721,1.11242976,102.8649387,-6.583412692,-0.751742482,0,0.614062617,9581.598716
past_nine_month_return_sector_median,31797,-4.350016806,12.14252144,-68.84270589,-9.923066526,-3.938286642,3.240360952,23.38132929
past_nine_month_return_sector_mad,31797,17.36880678,9.999944949,0,9.422468105,15.78998406,23.88805317,38.84789259
forward_nine_month_return_sector_median,32013,11.38361445,110.4551591,-77.13372642,-8.47909974,-4.964156325,3.518212466,754.3221342
forward_nine_month_return_sector_mad,32013,52.58400766,158.0273448,0,17.25148108,25.80312622,38.22614187,1121.775864
spcsrc_sector_zscore,32085,,,#NAME?,-0.67294751,0,0.67294751,inf
MEDREC_sector_zscore,32274,,,#NAME?,-0.67294751,0,1.34589502,inf
past_eight_month_return_sector_median,32459,-4.220959288,11.24823076,-68.17521503,-9.053744142,-5.085398096,3.24307941,24.06627023
past_eight_month_return_sector_mad,32459,17.84126001,12.48346344,0.12150418,8.064398091,14.59057183,25.61977724,63.64336196
efftax,32565,0.143739229,11.88608981,-2062.6,0.227,0.316,0.37,93.581
efftax_zscore,32565,-1.835751787,125.1308605,-21691.13812,-0.950671879,0,0.567799462,980.6843035
efftax_sector_zscore,32565,-2.139919835,171.9357336,-30179.47218,-0.872832909,0,0.567387116,1183.816247
PEG_1yrforward,32573,0.159365886,6.344917908,-43.33,-0.619,0.027,1.638,29.117
PEG_1yrforward_zscore,32573,0.027565051,3.747914334,-28.04163855,-0.424305676,0,0.883432521,17.75173086
PEG_1yrforward_sector_zscore,32573,-0.20503407,7.085640743,-428.222231,-0.639846886,0,0.713490878,184.6020736
forward_eight_month_return_sector_median,32676,0.209851839,37.13745277,-56.95607796,-9.143807149,-5.63062581,0.806849752,252.5440812
forward_eight_month_return_sector_mad,32676,25.40691818,23.09065458,0.022802831,11.09623246,20.59827104,28.29622632,125.3914541
sale_nwc_sector_zscore,32750,2.537658523,38.9897267,-594.6075201,-0.532744327,0,1.303724628,4464.462523
sale_nwc,32752,12.53461233,159.0134368,-1899.5,1.738,3.769,7.77525,21228.7
sale_nwc_zscore,32752,2.40668068,44.04518969,-528.4744126,-0.557372263,0,1.09190155,5893.669018
